,mus_base,mus_l2_3_0,mus_linf_4,mus_linf_8,adv_base,adv_l2_3_0,adv_linf_4,adv_linf_8
0,False,True,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False
2,False,True,True,True,False,False,False,False
3,False,True,False,False,False,True,False,True
4,False,False,False,True,True,False,False,False
5,False,True,False,False,False,False,False,False
6,True,False,False,True,False,False,False,True
7,False,True,False,True,True,False,True,False
8,True,False,True,False,True,False,False,False
9,False,False,False,True,False,False,False,False
10,True,True,True,False,True,False,False,False
11,False,True,True,True,True,False,False,False
12,False,False,False,False,False,False,False,False
13,False,True,False,True,False,False,True,False
14,False,True,False,False,False,False,False,False
15,True,False,False,True,False,False,True,False
16,False,True,False,False,False,True,True,False
17,True,True,True,True,False,True,True,True
18,False,False,False,False,False,True,True,True
19,False,False,False,False,False,False,False,True
20,False,False,True,True,False,False,False,True
21,False,True,True,False,False,False,False,False
22,False,False,False,True,False,False,False,False
23,False,False,False,True,False,False,False,False
24,False,True,False,False,False,True,False,True
25,False,False,False,False,True,False,False,True
26,True,False,False,True,False,False,False,False
27,False,True,True,False,False,True,True,True
28,False,False,False,False,True,False,False,False
29,True,True,False,True,False,False,False,False
30,False,False,True,False,False,False,False,False
31,True,False,False,False,False,True,True,True
32,False,True,True,True,False,False,False,False
33,False,True,True,True,False,False,False,False
34,False,False,False,False,False,False,False,False
35,False,True,False,False,False,False,False,False
36,False,False,False,False,True,False,False,False
37,False,False,False,True,False,False,False,False
38,False,False,False,True,False,False,False,False
39,True,False,False,False,False,True,False,True
40,True,False,True,True,False,False,False,False
41,False,False,False,False,False,False,False,False
42,False,True,True,True,False,False,False,False
43,False,False,False,True,False,False,False,False
44,False,True,True,True,True,False,False,True
45,True,True,True,False,False,False,False,False
46,True,True,True,False,False,False,False,False
47,False,False,False,False,False,True,True,False
48,False,False,True,True,False,True,True,True
49,False,False,False,False,False,False,False,False
50,False,False,True,True,False,True,False,False
51,True,False,False,True,False,True,True,True
52,True,False,True,True,False,False,False,False
53,False,True,False,True,True,False,False,False
54,False,True,True,True,False,False,False,False
55,True,False,True,True,False,False,True,False
56,False,False,False,False,False,False,False,True
57,False,True,True,False,False,False,False,False
58,True,True,True,True,True,True,True,True
59,False,False,False,False,False,False,False,False
60,True,True,False,True,False,True,True,True
61,False,False,False,False,False,False,False,False
62,True,False,False,True,False,False,False,False
63,True,False,True,False,True,False,False,False
64,True,True,False,False,False,False,False,True
65,False,False,False,False,False,False,False,False
66,False,False,False,True,False,True,False,False
67,False,True,False,True,False,False,True,True
68,True,False,False,False,True,False,False,False
69,False,False,False,False,True,False,False,False
70,False,False,True,False,False,False,False,False
71,False,False,False,True,False,False,False,False
72,False,False,False,True,True,False,False,False
73,False,False,False,False,False,False,False,False
74,True,False,False,False,False,True,False,False
